time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
17.72736167907715,2,0,0,3,3,2,1,-1,1
17.72736620903015,-3,0,2,4,3,0,0,-1,1
17.728071212768555,2,0,0,4,5,6,5,-1,1
17.728073596954346,1,-2,-5,-8,-9,-7,-14,-9,1
17.728846788406372,-2,-1,3,3,2,3,11,1,1
17.728848934173584,-3,-6,-3,-5,-2,-3,-7,2,1
17.733073234558105,6,6,2,0,-4,-4,-11,7,1
17.73307776451111,-3,-4,0,5,8,3,6,1,1
17.739312410354614,-1,-2,-5,-12,-10,-7,-4,-2,1
17.739315032958984,4,6,5,6,7,2,8,4,1
17.747387409210205,-3,-4,-3,-3,2,1,4,-2,1
17.74739170074463,-3,0,2,4,0,-1,-2,-2,1
17.76234006881714,-1,0,0,0,-2,-1,-3,1,1
17.762344360351562,0,-1,-1,-1,-2,6,4,-1,1
17.770836353302002,-5,1,0,-1,0,-2,-7,-3,1
17.770841598510742,-4,-10,-1,5,0,-1,-3,-15,1
17.777482271194458,-3,0,-4,-2,1,0,-11,-3,1
17.77748680114746,-2,-8,-5,-7,-6,-2,10,2,1
17.793121576309204,8,7,5,2,0,-1,-9,-9,1
17.793125867843628,-1,1,-5,-5,-2,0,4,4,1
17.799843549728394,-3,-4,-2,-4,-4,-3,-3,0,1
17.799848556518555,5,4,3,6,6,5,4,1,1
17.815744876861572,-5,-8,-5,-7,-10,-5,1,-2,1
17.815749645233154,-5,-3,-4,-12,-10,-5,-7,4,1
17.82249641418457,1,1,1,0,2,1,1,-1,1
17.82250213623047,6,5,0,3,3,-5,-20,-7,1
17.8307466506958,-5,-5,-3,-1,-1,1,15,6,1
17.830750942230225,9,6,6,2,3,1,-29,0,1
17.844893217086792,2,1,0,1,1,1,5,6,1
17.844897270202637,-4,-2,-2,-4,-2,-1,-1,-5,1
17.853048086166382,0,-1,-3,2,-2,-3,-8,-5,1
17.853053092956543,-6,-1,-2,-2,-1,5,11,1,1
17.85984206199646,-1,2,1,2,0,-3,-7,-2,1
17.8598473072052,-1,-7,-6,-5,-6,-6,-5,-8,1
17.875786304473877,-1,-1,1,2,3,2,8,1,1
17.87579083442688,-2,1,0,6,8,5,14,4,1
17.88259267807007,2,4,1,1,-5,-4,-6,-2,1
17.88259792327881,-8,-7,-5,-6,-7,-2,4,4,1
17.890848875045776,0,-1,-1,-2,1,-3,-11,-3,1
17.890852451324463,6,5,2,3,2,5,20,11,1
17.9049232006073,-3,-5,2,10,11,4,4,-7,1
17.904927968978882,3,2,-3,-10,-10,-6,-13,1,1
17.912959575653076,-4,-1,-3,-5,-3,0,-5,-1,1
17.912963390350342,-1,-1,0,-5,-6,-4,-6,1,1
17.91997528076172,0,-2,-3,0,5,3,6,-7,1
17.91998052597046,3,2,2,2,-2,-1,4,2,1
17.936487436294556,1,-2,1,4,5,1,2,-1,1
17.93649649620056,1,1,-1,2,0,-3,-1,-1,1
