time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
24.816083908081055,-18,-32,-12,-8,-4,-2,5,-23,1
24.81609058380127,0,1,0,0,-1,-3,-6,4,1
24.8300883769989,-1,7,2,-2,-1,-4,-7,-9,1
24.830094575881958,-4,-29,-8,1,0,-1,-6,-18,1
24.836716651916504,7,10,3,4,3,0,-1,5,1
24.836721897125244,1,49,12,3,0,-2,-12,-16,1
24.853434085845947,-4,-7,-2,1,-1,-4,-2,-7,1
24.853440046310425,-6,-4,-5,-7,-2,3,9,7,1
24.85620927810669,-9,-15,-11,-8,-3,7,9,-2,1
24.85621404647827,-2,-23,-11,-8,-6,1,2,5,1
24.86006498336792,5,8,7,8,5,-2,3,19,1
24.860068321228027,4,6,8,5,6,-1,0,1,1
24.861730813980103,-1,0,-1,0,1,0,3,2,1
24.861734628677368,-1,-10,-7,-6,-2,-2,-4,1,1
24.87509775161743,4,-4,-7,-8,-7,1,-14,-5,1
24.875104188919067,-13,9,8,6,3,-6,8,-39,1
24.88396716117859,5,19,10,6,7,4,6,24,1
24.883973836898804,-5,-15,-3,1,2,0,-3,-11,1
24.913214921951294,-11,-7,-8,-10,-8,-6,-17,-9,1
24.91322159767151,4,-3,-3,-5,-3,4,15,17,1
24.91582727432251,2,3,-1,-3,-3,1,1,-6,1
24.91583251953125,-4,1,4,7,3,-3,-2,-4,1
24.93558645248413,1,-8,-6,-2,1,5,18,5,1
24.93559217453003,-5,15,10,10,5,-2,-28,11,1
24.937814474105835,0,-12,-7,-8,-3,1,9,3,1
24.937819004058838,1,-10,-2,-2,-1,1,-4,3,1
24.949803590774536,2,-2,0,1,1,4,17,6,1
24.94980812072754,5,-4,-2,0,1,6,12,1,1
24.95654273033142,2,28,17,13,4,-11,-45,-19,1
24.956547260284424,-4,-9,-3,-5,-2,0,4,10,1
24.98102355003357,8,13,-1,-2,-3,-6,-8,-18,1
24.98102855682373,11,-1,-1,-1,-2,2,8,4,1
24.983978986740112,-11,-13,-7,-5,-5,8,11,-6,1
24.983983278274536,4,8,5,6,3,-3,11,7,1
25.004493713378906,-11,-5,1,-1,-1,-1,-11,-11,1
25.004501819610596,4,-5,-9,-10,-5,1,-1,6,1
25.009706258773804,-4,-11,-7,-5,-3,-1,3,7,1
25.009713411331177,2,16,6,3,0,2,4,12,1
25.02553653717041,0,-7,-4,1,5,3,16,10,1
25.025542736053467,3,9,5,0,-3,-13,-21,-3,1
25.027746200561523,1,-11,-4,-3,-4,-4,1,0,1
25.027750968933105,-9,-26,-11,-9,-5,-1,-2,-4,1
25.046723127365112,5,24,16,13,8,-1,-24,-31,1
25.046728134155273,-16,-12,-10,-7,-7,0,-3,-45,1
25.056458711624146,-3,-4,-2,0,3,-2,7,9,1
25.056464672088623,0,-5,-1,0,-1,-1,-7,3,1
25.078758716583252,-5,3,2,-3,-6,-8,-9,-10,1
25.078765630722046,6,1,-1,2,2,4,6,7,1
25.080780506134033,-2,-6,-1,-4,-5,-5,-7,-14,1
25.08078384399414,0,2,0,0,1,-5,-11,-9,1
25.10017228126526,-8,-12,-6,-4,-1,-4,1,0,1
25.100178480148315,0,1,0,1,0,-1,3,13,1
25.10670256614685,4,-13,-4,-1,-2,3,8,12,1
25.106708526611328,3,26,4,0,-1,-4,-20,-1,1
25.130594491958618,-2,-2,0,-1,-2,-4,-3,-1,1
25.13059949874878,3,-5,1,-1,2,3,5,16,1
25.13363742828369,6,14,5,2,1,-2,-5,5,1
25.133642435073853,1,-14,-4,-4,-3,-2,-2,-12,1
25.153516054153442,1,6,2,3,1,4,11,12,1
25.153525829315186,0,4,0,0,1,0,6,-2,1
25.156564474105835,-4,-13,-7,-3,-4,-2,5,-16,1
25.156569004058838,3,9,1,-1,-1,-4,6,-3,1
25.182698249816895,-4,-16,-4,-1,-1,0,-16,-11,1
25.182702779769897,0,0,0,-4,0,1,4,12,1
25.189012050628662,2,4,-1,1,1,0,0,1,1
25.189017295837402,-4,-4,-4,-3,-3,-4,-2,-10,1
25.206299304962158,-1,-6,-4,-2,0,1,6,-4,1
25.2063045501709,2,5,2,1,-1,-2,-5,6,1
25.208543062210083,2,0,-1,-4,-4,-2,-9,-1,1
25.208544731140137,0,-3,0,3,4,5,8,1,1
25.228609561920166,1,-8,-6,-8,-8,3,6,14,1
25.228615760803223,-2,16,6,3,0,0,4,-5,1
25.233860969543457,-1,11,8,8,4,-21,-39,-15,1
25.23386788368225,3,-3,-2,-2,1,8,20,20,1
25.25070357322693,2,1,2,-1,-1,-3,3,5,1
25.250709056854248,-5,-11,-4,-4,0,7,10,1,1
25.25300407409668,-1,-2,0,3,2,3,12,0,1
25.253008604049683,-4,-5,-2,-3,-4,-3,-5,-11,1
25.27169895172119,0,5,-2,-3,-2,-2,-11,-7,1
25.27170419692993,0,-5,-1,-1,-2,-1,0,6,1
25.288580894470215,2,5,0,0,1,1,11,10,1
25.288585662841797,-9,-8,-1,4,4,-2,-14,-11,1
25.303040742874146,-8,-11,-5,-6,-2,-1,7,1,1
25.303046464920044,10,16,5,1,-1,0,7,3,1
25.305214643478394,-5,-9,-1,-3,-4,0,2,-7,1
25.30521845817566,5,5,0,-2,0,-1,3,5,1
25.325840711593628,-4,4,3,-1,-1,-5,-2,2,1
25.325843572616577,-3,-6,-3,-3,-1,-1,0,1,1
25.328125,-4,-18,-10,-4,-3,4,13,-2,1
25.328128337860107,4,11,5,2,-1,-3,-6,13,1
25.346638917922974,-2,-5,-5,-4,0,3,5,-6,1
25.346641540527344,2,2,1,0,-1,-7,-11,5,1
25.35506844520569,1,3,-4,-4,-3,6,10,6,1
25.35507082939148,-7,-14,-2,-3,-4,-5,-9,-10,1
25.378381967544556,6,16,5,10,7,6,12,12,1
25.37838840484619,2,-4,-3,-1,-2,-4,-10,-14,1
25.38102698326111,2,18,4,2,2,1,-5,-3,1
25.38103222846985,0,-3,-2,1,2,0,4,2,1
25.400182008743286,0,-1,-1,-3,-3,-2,-4,0,1
25.400184869766235,1,-3,-3,-1,0,-3,-2,0,1
25.406201601028442,-1,-3,-1,1,-1,1,2,-5,1
25.40620446205139,1,4,1,1,-1,1,4,0,1
25.430681467056274,-4,-14,-12,-9,-7,-5,-17,-23,1
